BackGround [0 0] 1380273732 [640 480] [0 100 255 255]
Player [269 267] 1129270348 1380273732 [50 50] [0 255 255 255] 1346588494 1129270339
Wall_1 [50 50] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_2 [350 350] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_3 [150 50] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_4 [150 250] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_5 [250 150] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_6 [550 250] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_7 [250 400] 1129270348 1380273732 [50 50] [100 100 100 255]
Wall_8 [150 350] 1129270348 1380273732 [50 50] [100 100 100 255]
HiddenWall_1 [50 150] 1129270348 1380273732 [50 50] [100 100 100 255] 1129270339
HiddenWall_2 [50 400] 1129270348 1380273732 [50 50] [100 100 100 255] 1129270339
HiddenWall_3 [550 150] 1129270348 1380273732 [50 50] [100 100 100 255] 1129270339
